SGTime,UnixTime,GSR,Unnamed: 3,Unnamed: 4
420.41326,1631519032,3.32967,,
420.66326,1631519033,3.307899,,
420.91326,1631519033,3.275884,,
421.16326,1631519033,2.909621,,
421.41326,1631519033,2.796455,,
421.66326,1631519034,2.809262,,
421.91326,1631519034,2.767,,2.979648859
422.16326,1631519034,2.905309,,
422.41326,1631519034,3.189611,,
422.66326,1631519035,3.078195,,
422.91326,1631519035,3.105089,,
423.16326,1631519035,2.996234,,
423.41326,1631519035,3.093563,,
423.66326,1631519036,2.833594,,
423.91326,1631519036,2.824629,,
425.41326,1631519037,3.092282,,
425.66326,1631519038,2.28292,,
425.91326,1631519038,1.787183,,
426.16326,1631519038,1.283832,,
426.41326,1631519038,2.104522,,
426.66326,1631519039,2.592643,,
426.91326,1631519039,2.932072,,
427.16326,1631519039,2.695285,,
427.41326,1631519039,3.039776,,
427.66326,1631519040,3.562276,,
427.91326,1631519040,3.843206,,
428.16326,1631519040,3.882906,,
428.41326,1631519040,3.073543,,
428.66326,1631519041,2.819977,,
428.91326,1631519041,2.713214,,
429.16326,1631519041,2.952693,,
429.41326,1631519041,3.00776,,
429.66326,1631519042,2.845119,,
429.91326,1631519042,2.952693,,
430.16326,1631519042,3.02825,,
430.41326,1631519042,2.910432,,
430.66326,1631519043,2.888661,,
430.91326,1631519043,2.836155,,
431.16326,1631519043,2.600518,,
431.41326,1631519043,2.390493,,
432.66326,1631519045,2.533794,,
432.91326,1631519045,2.529952,,
434.16326,1631519046,3.078195,,
434.41326,1631519046,3.59045,,
434.66326,1631519047,3.333512,,
434.91326,1631519047,2.880167,,
435.16326,1631519047,3.339445,,
435.41326,1631519047,3.479035,,
435.66326,1631519048,3.772771,,
435.91326,1631519048,3.671601,,
436.16326,1631519048,3.565308,,
436.41326,1631519048,3.572991,,
436.66326,1631519049,3.652391,,
436.91326,1631519049,3.528169,,
437.16326,1631519049,3.547379,,
437.41326,1631519049,3.517924,,
438.66326,1631519051,2.936044,,
438.91326,1631519051,2.795174,,
439.16326,1631519051,2.814384,,
439.41326,1631519051,2.775965,,
439.66326,1631519052,2.787491,,
439.91326,1631519052,2.756755,,
440.16326,1631519052,2.722178,,
440.41326,1631519052,2.759317,,
440.66326,1631519053,2.788771,,
440.91326,1631519053,2.818226,,
441.16326,1631519053,2.90659,,
441.41326,1631519053,2.921957,,
441.66326,1631519054,3.053863,,
441.91326,1631519054,3.356093,,
442.91326,1631519055,2.778996,,3.234322693
443.16326,1631519055,2.281639,,
443.41326,1631519055,2.366031,,
443.66326,1631519056,2.463359,,
443.91326,1631519056,2.590142,,
444.16326,1631519056,2.5863,,
444.41326,1631519056,1.785902,,
444.66326,1631519057,1.283832,,
444.91326,1631519057,0.7969911,,
445.16326,1631519057,0.3192144,,
445.41326,1631519057,1.188698,,
445.66326,1631519058,1.626745,,
445.91326,1631519058,2.104522,,
446.16326,1631519058,2.592643,,
446.41326,1631519058,3.094713,,
447.66326,1631519060,2.38537,,
447.91326,1631519060,3.092152,,
448.91326,1631519061,2.919396,,
449.16326,1631519061,3.039776,,
449.41326,1631519061,2.837435,,
449.66326,1631519062,2.610763,,
449.91326,1631519062,2.28292,,
450.16326,1631519062,1.785902,,
450.41326,1631519062,1.283832,,
450.66326,1631519063,1.71905,,
450.91326,1631519063,2.104522,,
451.16326,1631519063,2.592643,,
451.41326,1631519063,3.094713,,
451.66326,1631519064,3.10765,,
451.91326,1631519064,2.851522,,
452.16326,1631519064,2.587711,,
452.41326,1631519064,2.68632,,
452.66326,1631519065,3.4086,,
452.91326,1631519065,3.358655,,
453.16326,1631519065,3.34969,,
453.41326,1631519065,3.59045,,
453.66326,1631519066,3.40907,,
453.91326,1631519066,3.296374,,
454.16326,1631519066,3.099156,,
454.41326,1631519066,3.456454,,
454.66326,1631519067,3.526889,,
454.91326,1631519067,3.412912,,
455.16326,1631519067,3.361686,,
455.41326,1631519067,3.528169,,
455.66326,1631519068,3.556343,,
455.91326,1631519068,3.657513,,
456.16326,1631519068,3.663917,,
456.41326,1631519068,3.739474,,
456.66326,1631519069,3.779174,,
456.91326,1631519069,2.895535,,
457.16326,1631519069,3.313833,,
457.41326,1631519069,3.352252,,
457.66326,1631519070,3.59045,,
457.91326,1631519070,3.751,,
458.16326,1631519070,3.679284,,
458.41326,1631519070,3.717703,,
458.66326,1631519071,3.818874,,
458.91326,1631519071,3.961025,,
459.16326,1631519071,4.079192,,
459.41326,1631519071,4.340442,,
459.66326,1631519072,4.462102,,
459.91326,1631519072,4.391182,,
460.16326,1631519072,4.003149,,
460.41326,1631519072,3.777757,,
460.66326,1631519073,3.691159,,
460.91326,1631519073,4.198291,,
461.16326,1631519073,4.467225,,
461.41326,1631519073,4.270802,,
461.66326,1631519074,4.140177,,
461.91326,1631519074,4.161948,,
462.16326,1631519074,4.214454,,
462.41326,1631519074,4.339956,,
462.66326,1631519075,4.383498,,
462.91326,1631519075,3.776476,,
463.16326,1631519075,3.71293,,
463.41326,1631519075,3.723175,,
463.66326,1631519076,3.830748,,
463.91326,1631519076,3.751349,,
464.16326,1631519076,3.720614,,
464.41326,1631519076,3.735981,,
465.16326,1631519077,4.131698,,
465.41326,1631519077,4.006196,,
465.66326,1631519078,4.049737,,
465.91326,1631519078,4.007476,,
466.16326,1631519078,3.292881,,
466.41326,1631519078,2.778996,,
466.66326,1631519079,2.281639,,
466.91326,1631519079,3.094713,,
467.16326,1631519079,3.59045,,
467.41326,1631519079,3.671601,,
467.66326,1631519080,3.675442,,
467.91326,1631519080,3.706178,,
468.16326,1631519080,3.676723,,
468.41326,1631519080,3.391141,,
468.66326,1631519081,3.921325,,
468.91326,1631519081,3.930289,,
470.16326,1631519082,4.273849,,3.469932763
470.41326,1631519082,3.881974,,
470.66326,1631519083,3.821784,,
470.91326,1631519083,3.277513,,
471.16326,1631519083,2.778996,,
471.41326,1631519083,2.28292,,
471.66326,1631519084,3.094713,,
471.91326,1631519084,3.325358,,
473.41326,1631519085,3.094713,,
473.66326,1631519086,3.503367,,
473.91326,1631519086,2.780277,,
474.16326,1631519086,2.28292,,
474.41326,1631519086,1.787183,,
474.66326,1631519087,1.958728,,
474.91326,1631519087,1.583501,,
475.16326,1631519087,2.592643,,
475.41326,1631519087,3.094713,,
475.66326,1631519088,3.59045,,
475.91326,1631519088,3.935412,,
476.16326,1631519088,3.942164,,
476.41326,1631519088,3.907587,,
476.66326,1631519089,3.961373,,
476.91326,1631519089,4.116331,,
477.16326,1631519089,4.093279,,
477.41326,1631519089,4.034369,,
477.66326,1631519090,3.976741,,
477.91326,1631519090,4.091999,,
479.41326,1631519091,4.085595,,
479.66326,1631519092,4.180362,,
479.91326,1631519092,4.11505,,
480.16326,1631519092,4.038212,,
480.41326,1631519092,4.021564,,
480.66326,1631519093,4.039492,,
480.91326,1631519093,3.920393,,
481.16326,1631519093,3.93448,,
481.41326,1631519093,3.93448,,
481.66326,1631519094,3.965215,,
481.91326,1631519094,4.117611,,
482.16326,1631519094,4.145785,,
482.41326,1631519094,4.330197,,
482.66326,1631519095,4.345564,,
482.91326,1631519095,4.189327,,
483.16326,1631519095,4.026686,,
483.41326,1631519095,3.865326,,
483.66326,1631519096,3.750068,,
483.91326,1631519096,3.63353,,
484.16326,1631519096,3.314652,,
484.41326,1631519096,2.778996,,
484.66326,1631519097,2.281639,,
484.91326,1631519097,1.785902,,
485.16326,1631519097,1.285113,,
485.41326,1631519097,0.7969911,,
486.66326,1631519099,1.188698,,
486.91326,1631519099,1.626745,,
487.91326,1631519100,0.8413785,,
488.16326,1631519100,1.188698,,
488.41326,1631519100,1.269447,,
488.66326,1631519101,0.3179338,,
488.91326,1631519101,0.0,,
489.16326,1631519101,0.0,,
489.41326,1631519101,0.0,,
489.66326,1631519102,0.0,,
489.91326,1631519102,0.0,,
490.16326,1631519102,0.8413785,,
490.41326,1631519102,0.0,,
490.66326,1631519103,0.0,,
490.91326,1631519103,0.0,,
491.16326,1631519103,0.0,,
491.41326,1631519103,0.0,,
491.66326,1631519104,0.0,,
491.91326,1631519104,0.0,,
492.16326,1631519104,0.0,,
492.41326,1631519104,0.0,,
492.66326,1631519105,0.2663725,,
492.91326,1631519105,0.0,,
493.16326,1631519105,0.8413785,,
493.41326,1631519105,1.188698,,
493.66326,1631519106,1.626745,,
493.91326,1631519106,2.104522,,
494.16326,1631519106,2.592643,,
494.41326,1631519106,2.60551,,
495.66326,1631519108,3.005069,,
495.91326,1631519108,3.144788,,
496.16326,1631519108,3.290781,,
496.41326,1631519108,3.242117,,
496.66326,1631519109,3.254923,,
496.91326,1631519109,3.240836,,
497.16326,1631519109,3.092282,,
497.41326,1631519109,2.936044,,
497.66326,1631519110,2.902748,,
497.91326,1631519110,2.902748,,
498.16326,1631519110,3.051302,,
498.41326,1631519110,2.740107,,
498.66326,1631519111,2.668391,,
498.91326,1631519111,3.00776,,
499.16326,1631519111,3.14735,,
499.41326,1631519111,3.189611,,
499.66326,1631519112,3.171682,,
499.91326,1631519112,3.407319,,
500.16326,1631519112,3.425248,,
500.41326,1631519112,3.59045,,
500.66326,1631519113,4.087808,,
500.91326,1631519113,4.31739,,
501.16326,1631519113,3.937041,,
501.41326,1631519113,3.883255,,
501.66326,1631519114,3.857642,,
501.91326,1631519114,3.866606,,
502.16326,1631519114,3.817942,,
502.41326,1631519114,3.71293,,
502.66326,1631519115,3.630969,,
502.91326,1631519115,3.57334,,
503.16326,1631519115,3.600234,,
503.41326,1631519115,4.586324,,
504.66326,1631519117,3.551569,,
504.91326,1631519117,3.67323,,
505.16326,1631519117,3.716772,,
505.41326,1631519117,3.670669,,
505.66326,1631519118,3.678353,,
505.91326,1631519118,3.728297,,
506.16326,1631519118,3.689878,,
506.41326,1631519118,3.670669,,
506.66326,1631519119,3.687317,,
